Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Faces_8_Async
21,26,27,54,27,44,46,105,23,51,47,101,57,101,102,257,1932
71,73,72,76,73,65,58,66,71,59,68,64,77,65,64,67,1604
36,43,45,56,47,62,45,95,42,59,65,83,55,85,94,177,1810
574,97,100,17,100,17,17,4,94,20,20,4,20,4,1,0,602
380,115,120,25,120,41,22,14,108,29,48,12,32,12,7,4,882
421,118,104,27,103,26,39,14,113,30,30,9,33,8,9,5,840
6,17,8,45,19,26,25,87,12,18,42,85,39,96,82,482,2034
92,74,66,67,71,70,55,60,76,47,73,60,60,65,62,91,1572
151,102,94,60,98,62,55,42,101,54,67,35,57,39,41,31,1358
7,22,16,43,22,50,28,101,14,25,64,98,45,104,93,357,1989
84,68,78,92,77,63,54,56,77,62,53,58,84,57,65,61,1564
120,90,82,79,91,54,58,52,86,64,67,38,74,47,48,39,1452
165,105,91,59,93,56,55,44,99,45,64,40,63,42,38,30,1339
260,114,116,54,115,34,45,25,111,53,36,19,58,18,22,9,1111
1,7,8,36,7,42,13,76,10,6,38,84,34,83,79,565,2069
21,31,41,59,32,53,43,103,32,45,43,111,67,102,104,202,1889
748,77,75,4,75,5,10,0,77,7,5,1,4,1,0,0,369
140,89,89,63,89,70,76,36,95,67,64,45,57,45,42,22,1409
185,104,94,59,96,66,45,38,108,38,64,35,53,37,42,25,1285
168,100,100,64,101,49,50,44,97,57,53,37,66,38,41,24,1328
382,120,107,32,107,39,36,13,120,28,39,8,32,8,13,5,889
251,98,108,54,112,53,46,20,103,50,52,26,45,30,25,16,1153
0,6,7,32,4,41,6,72,2,7,42,72,39,69,68,622,2082
187,119,109,49,115,55,55,28,117,44,63,29,45,35,26,13,1238
15,34,30,61,38,50,46,95,28,39,64,98,59,106,89,237,1901
818,61,60,6,60,4,5,0,61,4,4,0,6,0,0,0,290
8,25,26,55,28,47,34,105,29,40,45,100,49,102,109,287,1956
173,92,88,68,90,70,46,37,102,41,62,38,56,40,47,39,1332
134,81,87,78,88,50,57,48,81,56,51,55,77,56,48,42,1445
273,104,106,55,105,43,45,26,102,53,44,20,58,19,24,12,1115
22,34,30,75,33,57,41,100,32,39,62,98,74,101,98,193,1871
0,6,8,30,5,35,4,59,7,4,31,61,32,58,60,689,2088
52,57,48,81,63,43,59,76,55,44,60,82,68,97,74,130,1725
211,110,119,47,108,48,41,35,103,49,44,36,65,25,28,20,1214
485,107,110,24,110,28,16,8,106,21,29,6,25,6,7,1,722
2,7,5,34,10,27,6,62,10,3,29,63,26,68,65,672,2084
85,64,80,70,77,67,66,53,73,64,55,71,64,68,62,70,1586
924,36,36,3,38,3,1,1,35,2,6,0,2,2,0,0,178
35,47,52,69,48,73,52,85,44,54,72,88,76,84,82,128,1772
56,63,59,77,66,62,63,72,61,66,71,65,72,72,70,94,1676
795,68,66,5,66,4,5,0,68,3,4,0,5,0,0,0,311
207,104,102,46,91,59,50,41,101,48,51,41,60,30,38,20,1258
175,91,86,82,94,52,48,45,85,63,66,25,80,33,39,25,1332
5,9,13,36,8,43,6,73,10,8,37,75,40,70,74,582,2050
818,58,60,4,60,5,6,0,58,5,5,3,4,3,0,0,297
1005,20,20,2,20,0,0,0,20,0,0,0,2,0,0,0,86
1038,13,12,0,12,0,1,0,13,0,0,0,0,0,0,0,52
283,114,110,37,105,61,48,18,115,46,55,16,41,11,19,10,1071
386,110,102,47,109,24,42,12,110,38,31,8,40,15,12,3,904
60,66,71,70,61,75,64,60,77,49,54,80,69,70,71,92,1649
25,46,41,58,35,69,52,93,46,52,63,88,64,82,93,182,1833
796,68,63,4,63,4,7,2,67,4,5,0,5,0,1,0,316
52,66,56,59,51,69,64,83,69,58,61,79,61,74,86,101,1707
288,118,113,40,108,47,48,20,120,47,40,16,43,11,22,8,1058
72,66,68,68,64,77,62,59,74,50,65,73,64,69,67,91,1625
93,76,70,72,75,60,53,68,72,54,69,61,71,66,64,65,1563
51,63,58,63,48,58,69,73,54,55,57,82,82,72,64,140,1723
91,78,82,66,83,60,77,52,71,77,68,56,72,57,45,54,1549
108,87,82,58,72,70,66,56,82,52,65,65,73,55,51,47,1506
89,74,88,62,87,77,58,57,77,74,73,55,60,54,60,44,1538
569,111,112,10,111,10,11,4,111,15,9,1,11,0,4,0,575
6,18,16,44,18,40,17,95,13,13,47,97,47,99,90,429,2012
29,31,32,51,37,68,54,91,34,58,70,88,43,93,94,216,1870
167,99,91,70,92,44,52,49,96,53,48,40,72,41,46,29,1349
30,56,47,64,43,54,64,87,48,51,58,91,76,87,79,154,1798
83,70,80,66,75,81,49,62,81,60,65,61,60,56,73,67,1570
189,106,112,58,122,51,40,33,97,53,70,26,57,36,24,15,1245
6,8,14,32,8,39,16,78,12,8,29,92,34,86,82,545,2057
473,101,114,23,116,27,14,11,98,32,32,6,24,8,8,2,750
75,78,65,75,78,65,58,70,81,65,75,50,59,63,73,59,1589
44,41,49,62,37,61,56,84,47,50,43,98,68,86,90,173,1799
164,92,91,62,92,57,52,44,87,49,63,46,66,47,39,38,1364
29,42,41,67,45,61,53,94,40,57,67,89,65,93,92,154,1822
29,46,51,75,53,65,40,90,48,46,65,89,71,91,92,138,1784
375,109,112,40,106,41,31,13,113,31,31,16,42,10,17,2,911
470,110,104,32,105,26,27,5,110,19,27,7,31,8,5,3,751
6,27,20,54,27,46,27,104,26,29,54,95,48,102,103,321,1965
23,40,43,70,39,63,52,87,45,41,54,101,69,97,92,173,1837
60,64,66,66,60,78,69,71,68,67,68,75,68,69,75,65,1660
192,95,100,51,97,73,45,30,101,49,64,31,48,28,36,49,1283
268,111,117,48,113,53,40,17,118,44,42,19,45,15,24,15,1089
571,106,101,14,103,12,20,4,102,18,18,1,16,3,0,0,594
104,84,87,65,83,67,56,50,90,52,57,57,63,53,56,65,1500
36,42,38,63,41,53,44,95,42,34,56,101,60,104,95,185,1827
191,114,107,55,101,50,48,39,100,42,58,38,75,32,25,14,1255
3,17,19,46,17,46,24,88,15,21,46,93,50,91,86,427,2010
760,70,69,12,72,4,7,0,70,6,7,0,9,3,0,0,361
124,93,101,68,97,56,67,40,91,69,54,46,74,42,38,29,1422
362,116,120,45,121,41,21,7,122,21,36,11,38,12,13,3,895
51,61,59,76,60,59,66,76,58,64,63,76,78,77,73,92,1700
701,79,79,13,80,9,10,2,79,12,10,0,12,1,2,0,437
77,72,75,64,76,59,55,64,71,44,61,78,64,79,63,87,1606
79,74,60,69,57,82,70,67,69,58,84,65,77,62,62,54,1604
91,70,72,71,73,72,59,55,72,53,71,63,68,64,57,78,1568
440,112,100,26,100,37,33,11,111,23,38,9,27,9,10,3,811
486,113,115,19,112,18,19,10,108,23,20,8,27,5,5,1,716
18,25,30,52,29,40,37,108,27,38,37,112,51,111,110,264,1941
8,22,28,68,30,58,30,100,30,32,52,104,58,106,108,255,1934
47,58,43,65,52,61,42,96,54,41,74,82,60,91,92,131,1747
11,21,25,76,31,57,49,80,25,36,59,97,66,103,84,269,1925
2,14,20,50,21,52,28,93,16,34,51,93,47,94,95,379,2003
198,95,102,59,104,55,53,32,96,60,56,32,56,34,33,24,1272
133,86,76,64,80,73,64,47,89,56,74,45,57,49,50,46,1447
739,75,75,8,74,9,8,0,76,6,7,2,8,1,1,0,384
13,40,41,82,44,47,39,105,32,46,58,99,87,102,97,157,1858
203,111,109,52,108,53,47,31,113,46,50,30,51,29,33,23,1228
74,57,61,89,68,72,49,65,71,53,65,65,68,72,79,81,1626
71,80,64,77,70,51,55,75,71,49,66,65,80,71,66,78,1614
464,108,114,30,114,25,21,5,110,25,23,7,28,7,7,1,751
112,80,81,68,73,59,71,54,80,67,51,59,76,51,54,53,1513
44,62,67,51,56,75,52,81,56,48,70,90,68,79,75,115,1717
1,4,2,33,6,31,3,37,4,1,35,37,29,41,37,788,2096
50,60,55,73,58,69,56,77,62,54,70,74,68,77,79,107,1703
5,15,15,39,16,39,17,101,15,13,40,105,38,106,101,424,2029
24,35,28,59,23,59,52,101,34,57,55,89,65,84,100,224,1891
5,16,20,42,13,52,23,96,17,25,44,98,48,91,97,402,2009
852,54,51,3,51,6,6,0,56,3,4,0,1,0,2,0,255
11,19,24,32,14,53,16,99,16,17,46,103,45,93,96,405,1995
160,89,97,49,89,60,66,44,86,66,55,52,60,44,41,31,1385
213,101,111,47,103,55,50,30,96,50,52,40,60,32,25,24,1234
101,68,79,67,72,72,47,64,67,60,66,62,75,55,63,71,1550
43,61,48,66,53,72,58,90,48,62,90,73,74,78,77,96,1731
622,98,94,8,97,16,13,2,97,10,20,1,6,4,1,0,523
129,91,97,67,99,63,63,36,93,58,63,47,63,49,38,33,1412
143,76,83,75,85,46,44,59,73,58,51,52,76,54,56,58,1451
31,38,36,53,36,55,52,97,38,52,55,95,53,95,97,206,1860
263,108,113,49,118,42,45,22,104,57,51,15,48,20,18,16,1114
92,88,74,61,76,75,69,57,82,57,83,55,65,57,51,47,1532
303,114,104,38,112,49,45,19,110,38,61,16,34,24,15,7,1041
475,111,113,27,116,15,24,7,105,28,24,5,30,8,1,0,735
952,32,29,2,29,4,3,0,32,0,4,0,2,0,0,0,146
223,103,101,63,104,47,54,28,99,50,54,30,64,33,24,12,1211
193,105,96,53,104,55,43,45,100,46,68,33,50,41,40,17,1274
106,83,79,67,80,65,59,55,81,57,68,53,68,54,53,61,1509
480,114,100,17,95,33,38,7,111,23,31,8,25,3,4,0,745
249,105,107,55,105,58,38,25,110,41,51,24,52,22,30,17,1145
82,73,79,66,82,72,61,56,82,53,66,70,54,73,65,55,1569
166,99,91,49,88,61,65,42,89,57,68,42,62,39,32,39,1359
3,8,9,44,5,37,13,92,6,15,35,91,50,87,90,504,2061
38,62,52,65,56,60,54,91,51,62,75,73,72,77,80,121,1745
88,69,68,78,69,56,37,71,67,41,59,66,79,67,69,105,1593
162,95,80,81,94,49,62,37,92,53,66,31,70,45,34,38,1360
481,109,108,30,109,22,22,6,107,21,25,6,31,7,4,1,729
46,61,59,64,56,64,58,80,63,55,59,81,65,78,82,118,1721
694,82,78,11,79,8,13,4,80,12,11,1,12,2,2,0,450
958,31,30,2,30,2,1,0,31,0,2,0,2,0,0,0,136
133,90,91,62,93,60,61,45,85,55,67,52,65,54,40,36,1426
51,51,52,71,57,66,60,69,53,46,69,84,64,89,71,136,1728
7,10,14,41,17,48,29,95,20,28,41,100,28,103,105,403,2024
69,67,68,71,64,70,43,75,63,53,70,66,79,62,71,98,1633
121,85,81,75,91,63,51,49,83,51,75,45,67,55,47,50,1456
41,42,33,60,38,60,53,92,47,50,60,86,50,91,97,189,1821
662,90,88,12,89,10,11,1,90,8,11,2,11,3,1,0,475
227,108,119,61,115,50,38,25,115,51,39,23,58,19,32,9,1163
82,63,64,61,64,72,60,72,60,67,75,66,64,66,69,84,1627
150,84,99,64,99,67,66,31,89,68,62,44,59,44,36,27,1381
287,103,103,53,112,58,33,18,109,34,61,17,38,26,24,13,1072
336,116,113,33,116,36,43,17,116,44,39,13,30,16,17,4,976
9,29,24,62,29,58,31,98,27,34,65,90,59,95,96,283,1929
178,98,119,76,112,58,39,24,105,47,44,37,76,30,31,15,1261
53,58,49,65,53,73,57,77,53,46,82,79,66,83,72,123,1716
899,44,44,4,44,0,3,0,44,3,0,0,4,0,0,0,200
243,111,96,56,101,41,69,24,109,52,48,26,53,31,22,7,1176
55,51,44,71,46,76,51,86,56,48,73,82,64,84,91,111,1729
118,90,85,50,81,69,48,62,82,47,73,58,62,54,54,56,1477
210,112,110,57,108,62,49,24,118,50,54,21,53,19,30,12,1197
767,67,68,8,69,8,7,1,67,9,9,0,7,1,1,0,357
90,62,74,76,68,69,54,58,67,46,58,78,77,72,63,77,1587
127,94,99,65,104,62,58,39,95,63,66,39,59,44,40,35,1406
4,21,19,43,22,34,27,100,20,23,38,102,41,105,99,391,2010
39,63,58,62,57,75,64,82,61,62,76,79,65,78,80,88,1722
115,73,94,76,90,62,49,46,75,55,56,61,78,57,48,54,1480
378,117,113,34,112,35,33,13,117,33,34,9,35,8,13,5,894
162,86,97,52,91,82,57,33,90,53,72,48,54,42,37,33,1360
8,12,8,55,19,42,25,90,14,19,51,92,42,103,92,417,2014
0,3,3,30,2,33,2,38,2,1,33,39,32,38,37,796,2104
726,79,72,9,74,7,16,0,79,9,9,0,7,2,0,0,406
100,80,73,75,74,64,62,62,78,68,67,49,76,50,60,51,1532
1,7,5,40,9,29,8,74,7,14,33,66,36,70,74,616,2079
1,9,9,34,9,29,4,56,9,5,29,55,34,55,56,695,2077
993,24,24,0,24,0,0,0,24,0,0,0,0,0,0,0,96
1031,14,14,0,14,1,0,0,14,0,1,0,0,0,0,0,59
286,103,108,56,112,46,41,20,106,48,47,18,49,22,23,4,1078
187,98,107,53,112,64,51,31,99,65,68,26,47,31,32,18,1272
777,69,70,10,70,2,3,1,69,5,2,0,10,0,1,0,334
51,58,56,64,59,81,46,85,62,54,80,75,57,78,89,94,1700
101,74,75,67,76,60,64,63,62,65,73,63,78,64,51,53,1550
350,127,116,32,117,35,44,10,124,35,39,8,34,9,7,2,924
47,51,61,60,59,64,58,83,52,72,61,79,61,77,84,120,1738
230,101,112,58,107,58,41,25,99,46,55,31,65,26,23,12,1181
513,106,107,27,105,16,25,3,108,23,12,6,27,4,5,2,685
60,63,52,73,61,71,64,72,65,49,78,76,62,85,74,84,1675
196,105,116,51,109,47,49,33,98,56,47,37,65,30,26,24,1253
43,48,49,71,50,72,50,81,52,48,69,84,66,85,85,136,1754
17,30,31,69,34,67,44,92,34,38,66,99,62,102,96,208,1883
191,99,98,69,101,52,58,27,100,46,54,38,65,41,28,22,1278
253,110,113,52,114,48,39,24,109,42,50,24,52,25,23,11,1125
0,3,4,34,4,34,4,49,4,1,33,53,33,53,50,730,2096
0,1,1,31,1,31,0,0,1,0,31,0,31,0,0,961,2112
0,7,9,35,6,38,12,72,9,12,33,74,36,71,74,601,2076
52,49,42,68,49,76,52,82,52,47,80,80,58,87,85,130,1741
16,29,27,64,29,44,45,92,32,27,43,108,59,110,95,269,1924
139,80,79,67,83,59,52,51,77,43,66,59,66,63,48,57,1452
888,47,48,2,48,1,2,0,47,3,1,0,2,0,0,0,209
575,102,101,15,100,20,17,1,102,13,19,4,16,3,1,0,588
102,85,89,68,89,67,59,48,87,56,65,55,66,55,50,48,1491
80,65,65,53,60,80,48,75,61,52,79,71,62,66,71,101,1630
0,6,6,30,6,26,11,47,6,5,26,53,30,53,47,737,2098
195,99,104,58,106,56,37,38,87,42,70,38,68,40,26,25,1266
1,1,2,31,3,30,0,20,3,0,29,21,28,22,22,876,2108
729,77,76,7,76,10,7,2,75,7,12,1,9,1,0,0,397
84,70,66,69,68,68,60,65,71,57,69,64,66,66,66,80,1599
117,90,97,58,97,58,56,51,83,65,65,49,65,49,44,45,1454
13,23,30,51,26,56,31,99,27,32,48,105,51,101,103,293,1943
92,77,79,65,74,68,68,59,81,63,59,66,66,61,63,48,1554
210,110,99,48,97,56,54,36,109,49,55,30,51,28,35,22,1238
65,73,75,87,84,64,64,61,82,72,64,55,69,64,70,40,1592
69,63,68,65,68,60,51,77,59,55,64,78,69,78,73,92,1653
47,61,62,68,61,69,58,74,58,56,71,77,72,76,71,108,1702
155,92,99,60,104,62,50,40,95,58,64,39,52,44,43,32,1359
296,112,108,45,102,54,45,17,118,36,42,22,45,16,23,8,1053
78,73,76,79,71,67,52,65,79,58,56,62,78,57,71,67,1583
6,14,13,44,12,35,13,89,13,18,35,83,46,82,88,498,2034
105,81,79,62,79,79,74,44,93,63,67,53,50,53,56,51,1507
18,27,23,60,25,52,40,99,32,42,49,93,53,95,104,277,1928
39,44,40,54,36,87,37,95,41,42,86,86,61,82,92,167,1795
488,107,108,24,113,19,22,9,105,31,26,1,21,6,7,2,724
32,42,45,58,46,64,56,96,37,65,70,90,62,91,91,144,1817
165,94,102,65,95,75,56,32,104,58,58,38,62,31,42,12,1323
75,66,76,65,73,65,55,74,67,69,61,70,67,67,75,64,1617
153,106,92,60,96,62,69,37,103,64,69,28,59,32,34,25,1350
0,9,8,26,7,27,2,53,6,5,29,49,30,48,50,740,2092
59,71,73,54,68,70,51,81,55,58,81,76,75,71,65,81,1653
107,73,81,66,78,61,51,64,67,62,64,61,75,58,58,63,1532
907,41,43,2,43,2,2,0,41,4,2,0,2,0,0,0,192
10,19,16,52,19,48,29,108,22,33,48,101,46,104,111,323,1985
102,76,65,69,63,60,61,71,73,59,61,62,74,60,68,65,1565
146,91,87,64,94,60,58,41,90,49,68,46,58,53,40,44,1399
0,6,6,29,5,30,4,53,4,3,31,54,32,53,51,728,2096
2,11,13,41,12,29,18,83,14,11,25,92,39,91,86,522,2057
57,61,62,67,68,63,57,77,55,64,75,71,67,77,71,97,1682
44,56,47,71,50,65,51,83,55,38,69,87,69,90,82,132,1745
51,63,62,56,59,60,63,81,59,59,61,84,63,81,77,110,1713
31,53,44,73,46,52,47,104,49,54,58,88,75,90,100,125,1795
130,85,87,73,88,59,66,46,90,66,55,48,67,49,51,29,1441
2,8,10,26,7,36,6,67,8,9,33,66,29,63,67,652,2079
8,20,26,51,20,57,44,105,25,38,46,117,52,111,110,259,1968
94,76,78,75,78,60,59,62,83,66,53,57,68,57,69,54,1547
64,78,61,67,61,70,66,66,80,45,68,70,65,70,68,90,1635
797,64,68,5,69,3,3,0,64,7,4,0,4,1,0,0,311
3,19,16,46,18,41,29,85,20,23,42,88,43,90,86,440,2013
893,41,43,2,43,9,2,0,41,4,9,0,2,0,0,0,213
13,22,22,53,21,38,30,93,22,20,37,103,54,102,93,366,1974
294,110,106,48,115,48,35,22,109,41,58,12,40,21,21,9,1053
20,34,36,67,35,58,47,100,37,51,54,98,65,97,103,187,1874
21,29,33,57,31,56,39,96,30,38,53,101,58,99,97,251,1901
107,81,74,60,76,81,51,60,81,51,83,53,58,55,60,58,1511
150,102,103,59,104,66,56,33,105,50,64,40,55,41,36,25,1342
54,65,55,55,64,76,56,79,57,54,93,71,54,80,71,105,1690
319,121,107,39,113,39,42,20,111,35,55,13,43,19,10,3,1000
475,112,114,26,114,21,18,7,114,22,19,5,24,5,9,4,729
20,37,30,60,27,69,41,104,41,38,62,100,59,97,108,196,1878
6,12,7,45,18,27,12,87,11,15,39,79,35,90,86,520,2045
152,95,100,49,96,65,53,51,84,68,72,41,64,37,40,22,1374
82,71,73,57,73,71,63,64,68,66,74,63,60,63,61,80,1598
5,11,11,32,12,33,12,82,11,10,34,84,31,85,82,554,2058
124,83,80,60,68,77,60,60,92,59,56,58,63,46,69,34,1479
185,102,93,64,87,55,54,41,98,50,53,36,74,30,37,30,1305
24,42,34,61,40,60,52,106,39,53,69,97,58,103,103,148,1851
9,14,19,41,10,55,24,94,20,26,40,97,44,88,100,408,2007
92,72,74,70,72,66,63,60,72,61,64,64,72,62,60,65,1568
169,97,100,50,94,63,59,44,95,67,59,39,58,33,42,20,1339
69,57,62,53,61,82,55,77,63,67,75,70,48,69,83,98,1668
2,4,4,27,2,29,0,22,2,1,29,21,31,19,20,876,2104
1024,15,16,1,16,0,0,0,15,1,0,0,1,0,0,0,67
83,78,76,67,81,66,68,56,67,62,82,60,73,65,45,60,1566
540,105,105,20,99,17,26,2,108,21,8,7,23,1,5,2,647
299,99,102,47,98,55,45,22,103,49,47,21,47,17,26,12,1080
547,103,105,20,104,19,20,1,105,19,16,4,19,3,3,1,630
748,70,65,9,66,14,11,2,69,8,16,0,9,1,1,0,388
668,87,82,17,84,6,15,2,86,10,9,2,16,4,1,0,479
319,118,112,45,109,36,50,12,123,39,28,17,43,14,17,7,1002
280,108,98,60,103,44,43,24,104,38,53,19,59,24,20,12,1097
399,119,112,34,114,26,33,13,113,34,34,5,38,7,7,1,856
107,95,93,60,92,62,59,54,88,66,68,45,68,44,47,41,1467
91,67,70,77,71,55,63,67,70,69,53,64,73,65,70,64,1589
973,28,28,1,28,0,1,0,28,1,0,0,1,0,0,0,119
309,114,112,47,107,40,32,26,107,38,42,18,59,13,19,6,1026
22,32,28,67,34,57,36,97,34,35,61,94,59,100,99,234,1884
8,21,20,58,19,51,32,111,21,35,50,107,59,106,111,280,1972
129,86,85,60,78,71,54,54,87,53,63,54,66,47,55,47,1454
512,101,100,22,99,32,20,8,101,21,31,6,23,5,8,0,699
371,111,105,30,110,45,37,14,109,34,52,11,27,16,12,5,924
1049,10,10,0,10,0,0,0,10,0,0,0,0,0,0,0,40
60,50,56,64,60,68,44,77,50,50,72,77,60,81,77,143,1710
178,87,89,70,89,55,51,45,87,54,55,44,70,44,45,26,1345
113,73,77,73,73,66,52,56,72,53,63,59,78,55,55,71,1517
4,13,13,30,10,31,13,82,11,10,30,85,35,82,80,560,2060
527,109,106,18,102,19,22,5,108,15,16,9,23,5,4,1,661
109,72,72,75,73,63,52,64,71,53,65,63,75,64,63,55,1533
8,14,14,48,15,56,34,95,14,26,57,103,47,104,95,359,2001
282,109,108,47,103,48,41,27,107,42,45,25,54,20,25,6,1090
