Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Faces_8_Async
222,108,114,52,110,56,41,30,113,50,47,27,51,23,35,10,1186
42,53,48,74,57,73,58,70,61,56,74,67,57,76,78,145,1736
473,110,114,25,116,25,21,5,110,28,27,2,23,4,5,1,732
165,93,102,64,105,58,57,33,96,61,58,38,58,41,36,24,1333
230,106,105,53,102,56,46,31,105,47,54,29,57,26,30,12,1190
31,53,39,61,49,51,55,91,43,50,71,82,61,92,81,179,1810
0,1,1,31,1,31,0,3,1,0,31,3,31,3,3,949,2112
783,69,65,6,65,5,10,0,69,6,5,0,6,0,0,0,333
3,12,14,49,18,38,17,95,16,21,38,93,41,97,99,438,2029
268,111,98,53,99,54,52,19,112,37,54,21,51,22,20,18,1116
301,114,115,47,122,38,39,14,111,38,48,16,43,23,11,9,1026
127,87,99,71,99,64,53,41,94,59,57,47,64,47,48,32,1417
932,36,37,1,37,2,2,0,37,3,1,0,0,0,1,0,165
472,116,110,21,112,27,29,3,119,22,26,4,16,6,6,0,732
842,54,56,3,55,6,4,0,54,5,5,1,4,0,0,0,266
3,18,14,41,12,43,18,104,8,18,51,100,53,98,94,414,2026
11,22,17,39,16,40,30,100,16,33,45,92,46,91,94,397,2000
109,71,79,77,81,59,55,55,75,60,57,58,71,60,59,63,1522
189,113,108,61,111,46,52,32,107,52,55,27,64,30,26,16,1248
0,1,1,31,1,32,0,24,1,1,32,23,31,23,24,864,2111
12,28,26,55,27,44,30,100,27,33,46,95,55,96,99,316,1946
6,9,16,35,9,53,26,87,16,17,39,103,35,96,94,448,2035
3,19,13,54,13,41,18,92,16,19,44,85,57,85,89,441,2013
148,91,92,58,102,66,57,32,98,50,69,40,41,50,39,56,1382
2,8,8,28,8,41,9,77,8,4,41,82,28,82,77,586,2073
77,63,66,72,65,80,49,69,62,61,80,60,74,59,68,84,1615
44,47,49,64,46,67,53,82,43,49,68,88,71,85,78,155,1770
56,71,72,82,88,52,64,66,67,72,72,59,70,75,62,61,1630
110,93,92,60,82,74,67,53,91,76,66,43,72,33,51,26,1464
1,10,8,33,9,33,5,78,10,9,34,72,32,73,78,604,2073
152,80,81,84,84,49,46,50,77,54,55,43,84,46,47,57,1416
215,105,112,54,110,57,60,20,113,63,47,24,48,22,28,11,1205
194,101,99,50,97,56,61,34,102,56,53,37,51,35,35,28,1286
244,114,104,34,106,59,49,30,106,43,69,26,40,28,22,15,1159
211,100,105,75,107,32,53,30,96,59,38,29,77,31,26,20,1237
609,93,93,13,91,23,18,0,95,15,19,3,13,1,2,1,554
269,116,107,42,113,49,51,20,117,43,54,19,35,25,21,8,1097
78,67,76,70,68,78,61,58,73,60,64,68,72,60,64,72,1596
150,89,96,75,97,53,56,37,88,59,55,41,75,42,36,40,1379
271,110,120,44,116,43,45,20,107,50,42,25,51,21,17,7,1093
997,23,23,0,23,0,0,0,23,0,0,0,0,0,0,0,92
0,6,4,32,7,30,3,58,7,4,32,55,28,58,59,706,2093
128,90,84,67,88,54,58,58,84,63,64,47,69,51,52,32,1449
83,82,77,56,73,61,55,71,77,60,62,61,65,57,66,83,1581
94,83,80,72,84,64,58,56,94,54,57,57,57,61,67,51,1524
53,49,62,72,63,76,55,69,58,58,68,79,62,80,78,107,1701
49,56,52,70,60,58,59,76,51,47,71,84,67,92,71,126,1728
623,88,91,18,91,20,11,2,90,15,18,1,16,1,4,0,536
64,65,64,61,69,63,57,71,68,48,65,79,53,84,74,104,1663
0,2,4,31,1,32,0,31,3,0,28,33,33,30,32,829,2106
294,106,117,48,110,50,43,15,110,50,39,19,51,12,19,6,1053
895,46,46,1,46,2,2,0,46,2,2,0,1,0,0,0,201
19,30,33,50,25,50,45,105,25,52,47,101,63,93,100,251,1922
14,26,27,52,23,42,37,108,22,42,42,104,60,100,104,286,1954
14,26,31,60,27,55,42,104,29,42,48,109,61,105,107,229,1925
0,5,4,32,4,27,5,40,3,4,29,40,34,40,38,784,2101
30,48,41,57,39,56,51,105,44,49,58,100,63,98,101,149,1829
879,48,48,4,48,2,3,0,48,3,2,0,4,0,0,0,222
36,54,45,68,48,67,51,95,53,56,71,81,66,84,94,120,1770
214,112,109,48,106,48,57,30,103,54,54,30,60,27,21,16,1215
118,85,79,75,79,51,49,63,78,58,58,48,82,48,56,62,1488
106,71,81,77,75,64,59,56,68,61,61,64,86,58,53,49,1527
265,121,109,44,110,49,35,28,112,31,59,20,52,21,19,14,1094
8,16,15,38,18,42,15,102,17,26,44,90,34,93,103,428,2017
62,68,80,68,83,64,72,57,68,74,67,67,65,70,57,67,1623
0,6,5,34,6,33,6,62,6,6,34,61,33,62,62,673,2088
799,62,69,8,69,1,1,0,62,7,1,1,8,1,0,0,309
258,102,104,56,101,48,54,22,107,53,40,25,54,22,27,16,1149
222,115,111,51,111,51,59,20,118,52,48,23,48,23,23,14,1180
182,118,107,51,107,48,49,39,106,40,60,37,63,37,27,18,1265
13,20,25,59,23,46,24,102,20,32,44,99,61,97,102,322,1959
92,85,69,69,74,58,53,70,79,56,69,51,70,56,64,74,1554
18,45,35,60,37,57,36,113,41,54,63,85,62,87,109,187,1863
273,98,106,46,106,57,47,20,103,49,52,26,41,26,25,14,1121
179,99,93,59,97,58,53,35,101,50,60,32,53,36,37,47,1315
187,99,100,61,105,65,47,33,106,50,63,31,49,36,40,17,1275
58,53,61,54,53,87,62,73,55,54,77,89,60,81,75,97,1701
126,82,76,64,78,60,71,56,81,65,63,56,63,58,55,35,1484
12,13,24,41,9,64,28,94,15,27,47,106,54,91,96,368,1990
26,29,30,82,39,45,51,89,33,54,50,87,69,96,93,216,1872
50,56,55,71,59,66,54,85,49,61,77,77,74,81,78,96,1715
3,5,5,39,10,31,11,62,9,9,32,64,30,69,66,644,2077
40,51,52,67,55,61,54,86,49,56,66,85,66,88,84,129,1761
90,79,74,76,78,64,62,60,80,63,67,54,71,58,61,52,1548
28,47,43,71,47,62,49,88,47,51,66,82,67,86,88,167,1805
48,66,67,68,69,60,60,82,62,69,66,74,70,76,78,74,1686
302,125,121,40,113,47,48,8,128,37,36,15,45,7,11,6,1003
1037,13,13,0,13,0,0,0,13,0,0,0,0,0,0,0,52
297,121,115,44,112,39,40,20,117,34,40,20,51,17,16,6,1032
173,104,104,60,108,56,51,34,96,54,68,31,64,35,26,25,1296
35,67,68,59,68,57,69,84,57,74,67,80,69,80,74,81,1722
362,113,116,38,109,38,36,11,116,31,28,19,42,12,14,4,927
45,60,51,72,50,69,48,83,54,35,74,87,79,86,77,119,1726
10,22,25,44,23,41,30,105,19,28,42,110,49,108,102,331,1981
159,78,84,65,86,65,50,48,83,57,62,47,58,49,53,45,1404
10,14,12,57,20,46,20,96,17,28,51,86,46,94,99,393,1995
915,43,39,1,39,1,5,0,43,1,1,0,1,0,0,0,182
476,112,105,23,107,24,30,7,112,25,26,5,21,7,7,2,743
84,77,79,66,82,57,50,64,69,57,68,59,71,62,56,88,1572
134,94,87,66,84,62,65,42,94,55,59,45,69,42,42,49,1423
10,15,18,49,16,53,13,107,15,27,51,96,51,94,107,367,1992
244,117,106,49,105,47,48,30,115,47,48,20,52,19,28,14,1149
176,95,87,60,87,62,68,38,94,60,63,38,61,38,37,25,1340
9,24,20,44,26,46,28,102,21,32,55,94,41,100,99,348,1976
81,55,51,69,52,73,54,75,56,52,73,73,67,74,76,108,1661
59,51,62,70,63,79,63,67,59,64,72,77,61,78,75,89,1684
111,104,88,59,88,55,72,52,91,60,68,48,72,48,39,34,1458
86,89,85,58,77,63,66,62,85,66,59,58,70,50,58,57,1545
272,102,99,45,101,55,45,28,105,43,54,27,40,29,31,13,1130
23,37,38,62,39,66,32,97,42,42,62,88,56,89,102,214,1853
323,120,110,38,115,42,35,20,118,37,49,8,35,13,18,8,987
6,9,6,37,7,36,14,84,5,14,41,81,40,82,80,547,2062
342,115,112,34,110,50,34,15,112,35,51,11,39,9,12,8,958
6,12,11,39,14,28,15,94,8,21,35,87,40,90,90,499,2050
229,95,101,63,106,49,39,33,97,47,52,31,56,36,35,20,1211
298,112,111,48,113,47,42,15,115,40,46,16,43,18,18,7,1039
2,5,5,27,5,31,5,50,4,3,32,52,28,52,49,739,2096
85,89,94,66,91,60,60,55,82,69,64,51,76,48,48,51,1519
289,104,115,52,112,45,46,13,110,46,36,24,49,21,19,8,1068
562,105,103,16,100,19,16,4,106,15,15,3,18,0,5,2,606
34,48,53,64,47,60,43,89,47,47,55,90,71,84,88,169,1790
827,60,62,2,62,4,2,0,60,4,4,0,2,0,0,0,274
60,53,52,61,55,75,63,77,58,54,73,85,53,88,82,100,1709
269,109,110,52,117,47,37,22,106,41,57,19,48,26,19,10,1096
99,88,80,59,89,75,58,54,89,57,83,47,49,56,55,51,1501
0,8,10,39,8,32,8,71,8,10,30,71,41,69,71,613,2073
302,116,110,41,108,46,42,19,116,34,44,21,43,19,19,9,1037
13,28,31,62,30,56,41,107,27,45,56,106,64,105,106,212,1917
85,83,88,54,74,74,74,53,89,67,54,65,62,51,59,57,1552
0,2,1,31,4,30,0,20,3,1,32,18,27,21,21,878,2108
2,6,5,28,5,29,2,55,4,5,31,51,30,51,53,732,2095
280,115,116,45,116,39,46,22,113,54,41,15,47,15,20,5,1072
61,52,54,62,53,71,65,80,45,61,77,86,70,85,73,94,1712
391,101,107,33,106,43,29,15,105,29,38,21,30,20,19,2,905
279,115,116,36,112,47,53,18,113,50,45,22,42,18,16,7,1079
22,46,46,73,45,65,46,99,45,55,65,90,75,89,98,130,1813
24,23,18,63,24,54,38,88,32,29,51,92,48,98,97,310,1925
415,111,119,30,119,33,32,3,117,36,27,7,24,7,9,0,825
1023,16,16,0,16,1,0,0,16,0,1,0,0,0,0,0,67
2,6,4,31,7,31,5,61,3,3,37,61,31,64,58,685,2089
39,53,68,58,58,69,59,84,52,72,60,86,69,76,83,103,1741
198,99,107,61,108,54,42,30,102,46,52,34,57,35,33,31,1254
29,40,37,70,44,63,59,92,38,60,72,88,65,95,90,147,1826
20,37,33,54,31,57,51,105,29,53,63,99,64,97,97,199,1889
1013,19,19,0,19,0,0,0,19,0,0,0,0,0,0,0,76
113,90,91,71,98,62,49,51,82,62,77,39,72,46,43,43,1450
22,26,30,47,25,60,45,95,35,32,46,112,43,107,104,260,1920
85,64,74,67,63,76,51,69,68,53,61,77,74,66,73,68,1600
27,46,51,66,47,61,52,88,39,59,64,86,77,82,81,163,1807
360,115,118,33,117,34,28,18,116,37,32,12,33,11,19,6,926
26,41,39,72,44,67,45,99,41,52,72,90,67,95,99,140,1822
0,5,5,29,4,29,2,62,4,4,29,60,31,59,61,705,2101
5,13,12,39,13,37,23,83,16,10,35,95,35,96,86,491,2041
1,5,4,35,9,29,2,50,8,5,31,46,27,51,53,733,2089
126,86,81,65,84,64,56,48,89,53,64,46,59,49,51,68,1460
74,69,65,76,56,69,58,67,72,54,57,67,82,58,70,95,1626
12,32,32,38,23,66,45,103,33,43,56,105,46,96,104,255,1931
869,48,52,3,52,2,3,0,49,7,1,0,2,0,1,0,235
398,108,118,33,119,32,32,6,109,35,32,13,31,14,7,2,864
32,43,39,65,34,55,49,106,36,57,57,94,77,89,99,157,1835
797,69,65,5,66,2,6,0,69,2,3,0,4,1,0,0,308
66,68,62,62,61,68,58,72,63,53,72,71,68,70,67,108,1657
30,39,42,85,46,60,49,78,43,44,60,86,77,90,82,178,1807
140,79,79,67,78,74,58,46,80,56,72,48,67,47,47,51,1442
3,10,12,46,12,48,22,94,14,25,44,93,42,93,98,433,2034
240,99,97,60,103,51,57,23,103,52,53,26,50,32,27,16,1189
100,86,72,66,73,71,57,62,80,55,78,50,71,51,56,61,1524
100,79,86,66,80,73,61,57,79,68,67,57,72,51,57,36,1515
99,88,77,70,84,64,60,54,91,50,68,53,60,60,57,54,1509
4,13,12,35,11,40,15,89,12,13,40,90,37,89,88,501,2046
357,106,109,53,108,30,36,15,109,41,26,13,51,12,18,5,952
81,63,58,68,68,68,62,69,61,60,80,66,60,76,67,82,1628
56,57,42,60,45,64,64,88,59,50,65,87,55,90,90,117,1741
88,76,68,45,65,75,65,66,73,53,75,70,51,67,63,89,1597
111,77,84,62,81,79,49,58,75,57,78,57,67,54,56,44,1496
54,59,62,83,66,63,65,67,66,57,60,78,72,82,74,81,1678
63,67,65,82,68,71,43,73,69,47,72,67,77,70,75,80,1632
0,7,6,32,6,30,5,62,5,2,32,64,34,64,60,680,2090
3,6,5,41,12,33,9,76,9,5,37,79,31,86,79,578,2069
17,31,35,46,26,61,41,97,28,35,55,107,58,98,94,260,1914
254,120,101,61,103,39,52,26,113,40,48,19,66,21,19,7,1126
206,122,106,50,113,46,41,36,112,34,63,27,53,34,26,20,1207
7,22,18,49,21,46,30,112,20,39,51,99,48,102,110,315,1986
673,88,87,13,87,6,12,1,88,10,6,2,13,2,1,0,463
9,12,17,56,17,59,39,99,14,33,57,110,54,110,101,302,1987
338,100,100,55,101,41,50,12,103,46,39,16,51,17,15,5,1005
170,108,102,50,98,54,53,47,96,58,62,36,66,32,35,22,1318
0,2,3,34,2,33,2,35,3,2,31,36,34,35,36,801,2102
21,30,30,53,26,54,43,98,25,43,55,98,62,94,93,264,1913
53,41,36,66,34,69,55,91,42,52,66,89,67,87,92,149,1785
31,38,46,61,53,67,57,84,41,57,71,92,51,99,87,154,1813
30,36,32,70,36,68,48,84,32,36,76,92,70,96,80,203,1840
316,106,105,49,108,44,35,21,105,40,48,15,47,18,20,12,1028
35,38,45,68,48,66,49,85,45,60,62,81,58,84,92,173,1805
12,31,28,55,34,61,41,92,29,37,69,93,51,99,90,267,1914
104,79,72,78,75,65,59,60,79,56,68,56,75,59,60,44,1522
46,46,44,54,45,74,48,90,42,52,79,84,57,85,86,157,1777
18,45,37,70,45,64,57,93,50,54,67,88,57,96,98,150,1836
485,100,104,34,106,31,21,3,104,21,29,7,28,9,7,0,733
71,54,55,72,53,60,66,75,54,57,58,85,74,83,75,97,1688
9,12,16,43,12,40,15,92,18,18,30,93,41,89,98,463,2025
802,59,66,6,66,3,6,0,59,13,3,0,6,0,0,0,315
65,62,62,70,55,76,56,75,66,55,65,76,73,69,79,85,1661
65,59,78,53,71,74,57,68,56,59,70,85,63,78,65,88,1654
170,97,94,55,94,56,64,45,94,70,59,36,58,36,42,19,1345
9,22,25,45,23,58,34,94,25,36,53,95,44,93,97,336,1965
263,112,116,52,113,48,51,14,119,50,38,19,48,16,21,9,1099
196,119,111,50,117,52,50,31,116,52,61,21,47,27,28,11,1218
28,43,48,69,49,65,47,85,42,48,67,89,69,90,84,166,1805
201,97,100,52,99,63,57,34,97,60,62,34,53,33,34,13,1268
118,79,82,60,72,71,71,54,80,73,60,55,69,45,55,45,1499
33,43,41,78,53,67,38,89,49,43,73,82,60,94,95,151,1787
60,58,56,76,66,68,55,71,66,57,70,67,58,77,79,105,1676
622,98,92,10,92,14,18,2,99,11,13,3,9,3,3,0,530
524,106,105,19,106,21,15,8,104,15,24,7,20,8,6,1,667
201,94,110,52,104,70,55,22,99,55,59,38,53,32,27,18,1252
169,86,86,56,82,68,57,42,86,51,64,48,60,44,42,48,1376
133,88,91,61,90,61,52,58,89,67,59,46,61,45,59,29,1433
1,7,6,31,6,29,1,55,5,8,31,47,33,47,53,729,2090
466,110,104,21,101,38,29,7,112,21,33,9,22,6,9,1,762
3,7,9,36,11,34,8,76,9,10,34,76,32,78,78,588,2068
790,67,68,3,68,4,7,0,67,8,4,0,3,0,0,0,321
76,62,65,80,71,63,54,63,59,60,72,60,77,66,60,101,1623
290,116,113,41,117,42,41,21,113,40,49,19,40,23,18,6,1053
55,55,58,75,54,65,60,79,61,61,55,81,73,77,85,95,1706
29,37,32,65,32,55,54,107,32,59,60,97,70,97,102,161,1862
231,105,100,54,106,54,64,21,103,58,62,22,50,28,19,12,1192
245,122,121,47,115,33,57,24,112,62,37,18,63,12,14,7,1128
449,119,116,24,116,22,26,8,115,27,26,4,28,4,4,1,764
0,2,4,36,6,31,5,42,7,3,28,46,29,48,47,755,2097
159,93,103,70,100,50,55,41,87,69,53,37,79,34,35,24,1351
30,31,36,50,30,65,45,92,33,41,57,101,54,95,94,235,1875
41,50,56,83,57,65,53,78,56,54,60,83,76,84,84,109,1735
58,66,61,68,68,54,46,86,57,49,70,78,70,85,77,96,1679
34,39,38,70,50,64,49,91,40,53,75,86,57,98,92,153,1810
672,81,82,12,82,19,13,0,81,12,19,2,12,2,0,0,477
467,114,109,24,109,30,29,2,115,18,29,8,23,8,3,1,744
172,102,91,62,96,68,55,35,106,44,69,35,53,40,39,22,1313
1,4,4,36,3,33,4,56,6,3,30,57,35,56,58,703,2092
371,115,111,38,104,42,31,13,119,23,31,17,41,10,17,6,911
186,104,95,50,97,65,58,38,107,54,64,33,45,35,41,17,1291
498,100,109,30,111,24,16,4,105,23,21,6,23,8,9,2,708
10,34,22,46,27,50,40,105,24,32,65,101,51,106,95,281,1945
188,111,101,65,102,53,46,38,108,47,57,27,67,28,35,16,1259
15,41,37,72,36,62,33,109,36,46,66,92,78,91,104,171,1859
156,94,95,68,91,55,51,49,89,61,56,40,77,36,44,27,1369
12,18,21,36,15,53,27,86,17,13,48,103,43,97,85,415,1993
7,19,15,38,16,43,25,107,15,30,48,98,41,99,103,385,2014
210,113,117,39,109,58,53,30,108,54,55,33,52,25,25,8,1209
1029,15,15,0,15,0,0,0,15,0,0,0,0,0,0,0,60
113,80,86,77,84,57,51,57,85,67,50,47,74,45,62,54,1488
103,70,87,70,84,64,49,58,71,63,60,61,72,58,59,60,1527
2,14,14,28,8,35,7,85,7,11,36,81,41,75,78,567,2061
5,20,20,58,24,61,38,108,24,41,61,105,50,109,112,253,1965
129,98,81,68,85,64,61,50,100,54,66,40,62,44,52,35,1426
311,116,111,38,114,46,52,13,121,50,44,10,30,13,18,2,1015
474,104,106,34,110,20,22,9,103,29,25,4,31,8,8,2,752
642,88,94,13,93,12,11,2,88,18,11,1,14,0,2,0,506
64,67,76,61,78,71,51,75,64,63,76,72,62,74,72,63,1630
87,88,66,81,74,51,68,63,89,60,58,49,72,57,64,62,1556
62,64,77,72,77,72,59,60,67,59,69,73,69,73,63,73,1628
101,80,88,71,83,78,55,53,88,63,65,53,68,48,61,34,1496
274,118,111,44,111,40,52,21,116,47,42,19,46,19,19,10,1088
4,17,16,64,19,47,35,94,26,34,41,94,52,97,103,346,1990
221,97,96,56,95,64,51,31,101,50,59,31,53,30,35,19,1231
223,104,101,51,104,66,55,21,111,40,62,33,41,36,28,13,1202
320,118,125,31,120,42,36,15,114,44,41,14,40,9,11,9,984
846,58,55,4,55,2,4,0,58,1,2,0,4,0,0,0,254
105,84,72,64,68,59,55,65,77,48,62,60,75,56,58,81,1537
69,52,58,60,53,71,56,73,50,54,68,81,67,76,71,130,1694
963,31,31,1,31,0,0,0,31,0,0,0,1,0,0,0,127
944,35,34,0,34,2,2,0,35,1,2,0,0,0,0,0,150
76,74,91,63,89,67,60,56,79,69,60,64,60,62,61,58,1568
89,84,72,61,71,77,68,55,86,59,74,52,60,51,57,73,1551
81,78,71,70,80,56,56,69,69,54,74,64,70,73,60,64,1583
23,25,30,57,29,66,38,93,26,37,64,99,57,98,94,253,1900
9,15,20,52,16,42,31,104,18,28,35,112,53,108,107,339,2000
221,96,111,54,106,62,47,25,99,55,54,32,56,27,28,16,1211
489,109,110,24,113,23,22,4,109,25,26,2,21,5,4,3,712
117,80,96,60,99,67,49,55,74,74,76,46,63,49,49,35,1462
37,48,45,63,48,53,48,98,41,53,63,90,67,93,91,151,1799
300,117,101,50,106,40,49,20,119,38,43,15,43,20,22,6,1047
64,69,76,67,75,73,48,69,66,54,75,70,71,69,66,77,1621
161,95,99,60,96,76,50,39,99,59,69,34,59,31,43,19,1335
217,115,113,48,114,50,45,27,112,38,54,32,50,33,24,17,1189
114,92,79,66,75,57,78,51,91,63,54,53,71,49,50,46,1489
73,65,65,72,68,61,66,70,66,70,63,66,68,69,71,76,1636
41,43,44,59,47,72,49,90,47,50,71,90,52,93,94,147,1788
144,97,91,75,95,57,52,42,100,45,58,43,68,47,45,30,1378
63,72,65,64,68,63,58,80,67,69,71,62,66,65,75,81,1648
19,30,20,55,25,44,36,105,24,30,55,101,56,106,99,284,1936
1,17,11,38,16,35,15,96,9,15,48,90,41,95,88,474,2042
46,63,62,55,54,79,68,72,58,59,76,80,68,72,67,110,1710
157,96,97,66,80,74,56,37,103,47,50,47,76,30,44,29,1355
26,35,36,56,31,73,39,99,35,38,68,101,61,96,99,196,1860
0,8,4,34,10,29,10,63,7,7,36,62,29,68,62,660,2085
142,71,82,68,77,73,70,42,81,73,58,50,63,45,52,42,1452
60,52,60,65,60,72,51,79,52,60,72,78,65,78,79,106,1697
142,91,93,70,88,58,61,45,90,66,54,42,76,37,44,32,1403
0,3,3,29,2,29,0,11,2,0,29,11,31,10,10,919,2109
2,11,11,29,12,36,12,75,12,13,36,74,27,75,76,588,2064
1,3,7,32,6,39,7,59,7,5,34,65,29,64,63,668,2086
83,61,62,53,61,70,62,75,54,59,76,79,61,78,68,87,1644
45,43,49,62,42,71,41,93,41,50,66,90,71,83,91,151,1778
105,96,79,67,82,62,64,56,92,56,69,47,68,50,52,44,1486
30,37,40,54,40,62,46,95,39,42,60,102,52,102,97,191,1848
260,107,118,41,108,67,44,15,109,42,55,28,49,18,17,11,1110
351,112,107,36,112,42,35,17,106,33,53,14,37,19,11,4,955
38,41,44,64,42,55,47,102,43,56,51,96,64,94,104,148,1815
160,91,91,52,81,74,64,43,92,55,63,52,61,42,44,24,1378
64,82,76,64,76,63,57,73,73,62,72,62,73,62,64,66,1607
54,68,71,71,70,57,59,70,66,56,58,76,74,75,68,96,1665
238,118,112,51,122,39,47,25,113,48,54,18,46,28,20,10,1142
84,81,81,44,68,84,58,71,79,67,73,62,59,49,69,60,1571
263,116,111,43,109,43,43,29,111,49,46,18,50,16,24,18,1114
0,7,8,34,10,45,14,78,10,9,44,84,29,86,81,550,2067
142,85,88,60,86,76,58,46,88,63,71,44,59,42,49,32,1414
333,106,105,46,110,50,34,15,109,36,52,12,38,17,18,8,989
14,20,24,48,24,46,31,102,19,41,47,96,49,96,101,331,1968
10,25,21,53,19,47,32,92,24,27,46,93,56,91,91,362,1968
15,28,30,47,22,50,40,111,22,48,48,105,61,97,105,260,1943
939,36,36,0,36,3,0,0,36,0,3,0,0,0,0,0,153
4,19,13,59,26,46,21,97,19,28,59,84,46,97,97,374,1988
54,73,62,65,64,67,49,82,63,53,79,67,73,69,72,97,1666
309,108,110,45,112,38,41,19,107,41,41,21,44,23,18,12,1039
103,73,73,63,68,67,53,64,75,52,60,65,66,60,66,81,1555
72,60,65,65,55,78,78,66,56,80,72,69,79,59,62,73,1651
104,91,94,67,92,76,49,45,88,51,77,46,72,44,42,51,1459
10,16,11,40,17,34,15,99,10,14,46,95,40,101,93,448,2024
72,70,71,57,75,79,68,67,66,80,87,56,57,60,63,61,1612
160,80,80,63,82,77,54,42,87,51,72,45,54,47,49,46,1396
632,94,90,14,93,14,14,1,94,11,17,0,11,3,1,0,515
172,96,95,59,100,63,49,39,104,51,60,36,46,41,47,31,1325
