Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Contact_perimeter_8_Async
117,89,87,47,80,76,59,60,87,64,71,53,56,46,58,39,1056
78,59,64,66,64,68,55,67,60,55,67,72,65,72,68,109,1012
739,75,80,7,81,4,4,1,74,10,6,0,7,1,0,0,364
29,40,38,77,38,61,58,90,43,56,58,90,74,90,93,154,1020
463,117,117,18,119,25,27,3,116,27,28,3,17,5,2,2,678
162,97,100,68,96,52,59,39,95,63,50,38,74,34,37,25,1024
174,97,96,56,93,58,51,45,99,56,53,39,57,36,47,32,990
341,111,106,40,106,42,50,12,108,46,45,11,43,11,9,8,836
179,86,84,48,79,85,46,47,84,41,82,50,55,45,45,33,964
27,29,27,46,24,50,35,108,31,44,45,97,47,94,110,275,866
436,120,116,31,115,26,29,3,125,22,20,6,27,5,8,0,704
26,35,45,71,47,59,44,92,37,59,59,87,67,89,94,178,988
14,31,30,37,21,49,22,106,21,25,50,102,56,93,96,336,786
315,110,116,38,113,45,28,23,104,38,48,19,47,16,17,12,828
51,65,54,58,61,63,54,81,69,47,66,77,47,84,85,127,1012
860,53,54,4,54,1,2,0,53,3,1,0,4,0,0,0,234
98,76,73,69,70,56,62,65,65,58,64,66,83,63,54,67,1044
83,82,75,78,78,66,65,57,86,67,65,48,71,51,61,56,1082
98,85,79,65,91,73,72,48,84,61,86,53,54,65,47,28,1096
312,101,107,44,106,55,42,17,102,44,53,21,44,20,18,3,860
666,94,88,10,88,8,9,3,91,5,11,1,13,1,0,1,436
64,57,68,90,77,66,60,63,64,72,68,62,74,71,70,63,1094
77,60,63,60,54,84,60,64,59,43,76,84,70,75,63,97,1018
511,103,94,22,93,33,30,5,104,19,31,7,22,6,6,3,624
101,86,78,61,74,83,53,64,82,68,83,41,69,37,60,49,1060
81,87,87,52,81,71,62,67,70,70,82,59,75,53,50,42,1098
34,33,35,61,31,63,39,96,43,50,49,87,55,83,106,224,920
61,55,68,77,72,69,49,67,61,49,67,80,67,84,73,90,1036
0,2,2,29,1,31,0,16,1,0,31,16,31,15,15,899,190
49,68,62,73,76,61,70,67,73,64,70,67,54,81,72,82,1092
132,87,84,46,86,64,59,60,83,59,70,57,48,59,56,39,1036
166,95,93,62,96,63,54,38,102,55,59,35,52,38,45,36,996
795,66,66,6,66,5,2,1,66,2,5,1,6,1,1,0,298
362,122,124,41,127,23,30,9,122,33,26,8,38,11,9,4,786
139,96,87,59,89,58,63,51,96,65,60,40,57,42,51,36,1042
58,64,58,55,55,65,60,80,52,46,74,88,70,85,68,111,1026
246,108,110,49,114,52,55,20,113,60,51,17,40,21,25,8,950
71,72,66,65,66,61,58,76,65,54,68,74,72,74,69,78,1052
0,1,1,31,1,31,0,4,1,0,31,4,31,4,4,945,144
116,86,82,59,79,70,59,53,85,55,68,53,63,50,52,59,1028
87,88,89,70,84,60,59,61,83,60,60,61,80,56,56,35,1086
149,88,94,81,101,57,57,36,97,64,55,35,65,42,45,23,1038
4,15,11,47,12,48,27,109,14,25,50,107,47,108,108,357,780
78,60,63,81,64,67,69,65,73,73,55,64,67,65,78,67,1086
24,46,44,72,47,63,57,86,50,51,62,90,65,93,90,149,1024
236,123,108,52,108,50,55,22,121,46,52,16,54,16,20,10,944
122,75,78,71,77,59,58,56,76,54,57,63,71,62,57,53,1026
10,24,34,54,28,60,54,91,32,43,46,112,52,106,99,244,932
93,78,80,62,78,71,64,56,76,62,71,60,66,58,54,60,1062
68,62,65,65,63,75,46,81,63,62,72,68,66,66,82,85,1044
650,87,86,14,83,14,10,7,84,13,14,3,20,0,4,0,462
136,109,105,72,117,44,53,36,104,46,61,39,65,51,31,20,1032
458,106,111,35,113,20,21,10,102,31,26,5,37,7,6,1,682
254,106,106,66,115,47,32,23,114,33,48,22,49,31,31,12,888
83,67,80,76,82,67,42,66,68,60,68,61,73,63,67,66,1042
864,51,53,3,54,1,1,1,50,4,3,0,3,1,0,0,230
532,105,101,27,98,16,24,5,103,20,15,5,32,2,3,1,600
146,98,92,47,84,64,74,47,96,65,58,50,57,42,45,24,1058
250,115,113,41,117,53,52,19,114,50,58,19,38,23,18,9,932
13,19,23,59,17,41,25,98,25,28,29,99,59,93,104,357,772
2,14,11,39,12,46,27,97,13,25,48,96,39,97,96,427,712
14,27,23,52,24,52,49,101,25,43,55,103,53,104,99,265,902
1,2,2,30,1,31,2,25,2,1,30,26,31,25,25,855,236
33,37,39,52,36,68,51,92,44,44,58,101,48,98,99,189,962
142,93,91,61,98,57,45,52,89,49,68,46,58,53,48,39,1002
2,14,11,39,7,47,26,103,11,24,46,102,46,98,100,413,724
70,67,74,63,69,70,68,64,64,65,68,74,71,69,61,72,1080
868,53,50,2,51,2,4,0,53,1,3,0,1,1,0,0,226
97,77,80,76,86,64,45,65,79,59,68,54,68,60,67,44,1052
491,100,115,19,111,25,24,5,101,35,20,9,22,5,6,1,656
39,53,42,69,52,61,50,90,47,51,77,78,65,88,84,143,1008
101,73,81,71,83,69,66,52,75,73,69,53,67,55,54,47,1080
174,92,103,62,102,63,46,36,91,52,63,41,64,40,35,25,988
63,72,73,60,69,75,61,68,66,54,77,76,70,72,62,71,1070
13,22,22,64,29,42,36,103,26,30,45,109,53,116,107,272,870
86,71,60,83,62,62,63,64,73,50,62,66,79,68,66,74,1042
85,74,73,72,70,62,79,50,75,55,58,73,74,70,51,68,1070
5,21,20,43,18,53,21,102,18,33,54,89,48,87,99,378,760
105,77,76,62,75,66,54,63,72,55,70,61,68,60,58,67,1026
41,38,40,69,49,64,43,98,38,57,73,86,60,95,98,140,1008
27,44,47,62,45,70,58,89,47,46,65,104,61,102,92,130,1036
599,103,98,13,98,12,13,5,101,11,14,2,15,2,3,0,514
791,69,67,4,67,5,5,0,70,3,4,0,3,0,1,0,306
709,73,74,10,74,20,9,2,74,12,19,0,9,0,3,1,400
313,109,108,43,111,39,49,18,104,52,47,14,45,17,13,7,870
443,107,104,28,111,26,32,11,105,35,35,5,23,12,9,3,710
31,45,41,68,36,55,52,103,41,50,54,101,77,96,99,140,1020
30,40,47,61,39,72,53,88,42,39,62,109,67,101,90,149,1002
212,108,109,37,103,64,61,31,110,63,56,30,41,24,33,7,994
0,2,3,30,2,31,4,33,3,1,29,37,30,36,34,814,280
23,53,48,62,46,59,46,94,53,40,57,95,64,93,94,162,990
168,95,99,60,108,55,58,33,99,56,60,39,47,48,37,27,1008
103,82,84,66,83,67,64,51,86,59,62,58,63,57,55,49,1060
0,4,7,33,1,33,0,46,4,1,27,48,39,42,46,758,332
171,105,114,57,107,54,53,32,102,57,50,37,67,30,29,24,1004
73,75,76,68,69,75,76,55,80,60,63,72,70,65,60,52,1100
226,101,112,51,110,58,48,24,103,55,54,28,51,26,26,16,950
101,78,69,75,74,53,58,64,66,59,70,54,82,59,52,75,1030
90,76,77,72,85,62,59,56,74,45,72,71,66,79,54,51,1052
1,8,7,36,13,36,11,75,9,9,41,76,29,82,76,580,528
127,94,92,64,96,60,56,51,92,64,66,41,62,45,49,30,1052
455,106,107,30,107,34,26,6,107,26,33,7,29,7,7,2,684
167,97,104,67,108,51,50,35,93,56,59,36,67,40,31,28,1000
202,91,94,43,97,72,54,35,94,52,72,40,37,43,38,25,968
421,111,122,31,120,27,22,7,111,33,25,7,33,5,7,7,716
637,92,87,12,88,13,21,1,93,15,13,2,10,3,2,0,488
93,68,67,62,71,65,48,73,60,44,77,76,66,80,65,74,1014
72,62,67,62,62,85,64,70,67,73,75,66,62,61,75,66,1088
176,111,106,52,99,56,60,35,105,51,55,39,65,32,29,18,1006
69,67,64,69,59,67,66,70,75,62,54,71,66,66,78,86,1062
100,73,69,56,74,67,60,61,64,54,81,63,60,68,52,87,1016
89,70,61,71,63,72,77,59,71,64,73,63,68,65,60,63,1078
26,45,42,62,48,57,56,92,45,50,63,95,56,101,92,159,1010
47,56,63,63,59,78,60,77,56,61,74,83,67,79,77,89,1074
116,74,72,82,77,74,52,52,79,47,74,55,72,60,57,46,1026
43,61,58,62,55,62,59,85,54,55,66,86,72,83,78,110,1050
36,51,56,63,56,78,52,87,49,67,80,77,65,77,85,110,1062
599,93,99,13,97,18,16,2,94,20,15,4,14,2,3,0,526
428,117,120,33,121,19,33,2,119,33,18,5,30,6,4,1,726
53,60,64,62,64,72,54,74,50,55,82,77,72,77,64,109,1036
451,111,111,24,105,33,26,10,105,28,33,8,36,2,4,2,690
20,33,30,45,31,50,32,98,31,25,53,102,46,103,96,294,832
12,26,26,59,28,51,36,96,21,28,58,104,62,106,91,285,856
141,88,96,69,96,54,80,35,88,81,54,42,69,42,35,19,1090
103,81,74,63,82,52,60,65,75,58,66,60,61,68,59,62,1042
41,39,45,76,53,62,58,85,46,71,63,78,61,86,92,133,1044
164,78,84,64,88,69,47,49,80,54,71,48,58,52,51,32,994
1,8,9,34,7,35,16,70,8,10,33,77,36,75,70,600,514
67,58,63,70,70,66,56,65,58,54,73,72,63,79,65,110,1022
55,55,61,67,57,77,53,79,65,59,63,79,61,75,89,94,1052
13,16,21,47,18,43,22,92,23,24,33,95,43,92,99,408,714
300,125,118,44,121,37,39,16,120,36,45,12,46,15,11,4,860
517,106,106,16,108,19,24,7,102,27,25,4,18,6,3,1,622
588,101,100,16,99,15,13,4,99,14,16,2,19,1,2,0,528
868,52,49,2,47,5,5,0,53,0,2,2,3,0,1,0,226
0,3,6,30,2,29,0,24,5,0,23,27,32,23,26,859,230
93,65,79,68,69,93,57,57,77,66,71,62,66,52,69,45,1074
38,41,48,73,52,76,53,77,50,56,71,81,60,85,86,142,1018
81,72,76,70,86,61,50,71,63,64,80,61,69,71,62,52,1070
146,89,102,65,101,66,43,43,97,54,57,45,58,44,51,28,1012
50,51,53,78,60,63,61,80,49,59,72,84,73,91,78,87,1072
45,44,48,61,57,72,61,81,42,57,83,89,54,98,79,118,1044
208,120,107,52,112,45,55,27,114,46,56,23,53,28,21,22,960
5,15,13,46,17,40,17,100,12,16,47,99,45,103,97,417,700
112,85,85,58,76,68,65,56,85,62,59,59,67,50,56,46,1058
23,27,24,55,23,45,44,107,29,36,42,112,54,111,109,248,898
25,33,32,49,33,53,25,104,31,29,56,99,50,100,102,268,850
127,93,87,62,90,72,57,45,100,49,68,47,52,50,52,38,1030
33,36,43,65,37,62,46,90,42,51,50,92,65,86,96,195,958
63,58,63,58,64,77,51,77,58,65,78,68,57,69,77,106,1036
367,118,113,28,112,38,38,15,113,34,42,14,34,13,10,0,794
347,119,117,37,114,40,36,11,125,33,31,12,34,9,17,7,804
4,11,10,33,12,33,10,89,9,22,37,76,33,78,87,545,572
1081,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,8
505,99,103,31,98,27,23,5,101,24,20,8,34,3,7,1,630
124,89,91,56,96,72,69,43,90,70,76,44,50,49,44,26,1078
217,117,107,48,106,56,56,26,115,47,57,25,51,24,24,13,962
826,60,59,1,59,6,6,0,60,5,6,0,1,0,0,0,274
167,94,95,63,96,56,62,39,93,66,58,36,63,37,38,26,1024
89,73,65,71,73,64,64,67,68,65,77,58,68,66,62,59,1070
6,20,20,53,21,44,29,113,23,35,42,107,49,108,116,303,844
65,70,70,63,65,73,61,65,65,55,73,71,73,66,60,94,1046
42,45,51,64,50,67,42,86,51,50,60,84,59,83,92,163,976
2,12,8,26,15,33,12,79,10,13,42,74,21,81,77,584,528
17,31,33,54,30,53,45,103,28,40,53,110,60,107,100,225,932
9,17,11,52,20,37,24,88,19,14,44,92,41,101,90,430,688
28,35,36,65,36,69,55,93,38,55,66,94,62,94,96,167,1004
576,105,99,17,99,13,21,2,104,15,14,2,18,2,1,1,548
97,68,71,74,73,70,58,59,75,67,65,53,65,55,66,73,1044
18,39,34,56,23,67,53,94,40,40,55,102,66,91,95,216,948
5,15,12,47,22,49,23,100,18,23,56,97,34,107,103,378,752
51,50,54,67,56,53,50,77,53,46,52,85,62,87,80,166,968
198,99,104,56,108,66,54,26,104,58,65,27,47,31,31,15,988
38,42,38,71,42,57,61,96,44,59,59,94,65,98,98,127,1044
164,104,97,52,84,64,60,42,94,53,61,42,75,29,32,36,1002
58,62,49,59,44,68,66,81,63,60,62,74,63,69,82,129,1028
218,116,117,41,109,63,47,23,121,36,50,35,44,27,28,14,940
59,71,75,62,76,76,66,62,68,64,80,68,64,69,59,70,1090
0,1,1,31,1,31,0,6,1,0,31,6,31,6,6,937,152
40,40,40,64,49,64,54,94,41,56,72,92,54,101,95,133,1026
305,110,106,46,113,44,46,16,112,41,49,17,37,24,18,5,866
152,98,109,61,113,51,58,36,92,69,61,36,63,40,30,20,1044
9,29,25,52,26,52,29,106,27,36,55,95,53,96,104,295,850
71,75,69,68,85,53,71,70,64,84,80,51,63,67,59,59,1114
6,14,17,38,10,45,22,95,13,19,39,101,46,94,94,436,688
44,58,57,57,53,75,58,85,59,56,70,86,60,82,86,103,1056
431,116,110,29,108,26,33,10,117,28,23,9,30,7,11,1,718
879,51,49,2,49,1,3,0,51,1,1,0,2,0,0,0,214
399,118,113,38,112,23,35,9,116,27,24,12,41,11,7,4,748
140,85,84,75,87,61,54,48,87,56,62,45,70,48,50,37,1022
40,45,45,72,49,67,46,87,44,49,72,84,69,88,86,146,998
95,83,77,48,87,65,57,66,67,55,91,62,54,72,50,60,1046
3,10,12,42,13,39,22,86,10,17,40,93,41,94,86,481,644
12,25,20,43,25,43,25,107,20,30,53,97,43,102,102,342,790
15,30,31,56,29,44,32,103,27,39,45,97,61,95,100,285,860
1,13,17,35,11,37,18,94,15,16,29,100,39,94,96,474,648
45,56,65,81,67,68,54,72,60,55,66,80,75,82,76,87,1066
86,71,71,74,71,67,59,62,71,56,67,65,74,65,62,68,1050
10,28,30,34,21,62,28,103,21,27,60,106,50,97,96,316,818
114,80,84,68,87,77,52,52,81,56,79,52,64,55,53,35,1048
245,112,108,54,113,46,51,20,116,41,47,26,45,31,24,10,926
106,82,80,76,79,65,74,44,88,57,58,59,71,58,50,42,1072
1,2,2,31,4,30,0,23,4,1,30,22,27,24,25,863,226
90,58,63,71,62,75,50,72,65,57,67,70,65,69,79,76,1030
71,66,66,81,66,56,57,71,65,58,57,70,82,70,70,83,1050
402,113,104,33,105,43,39,7,114,29,43,8,31,9,8,1,754
42,45,40,77,49,52,49,88,49,59,57,73,64,82,92,171,984
49,65,47,64,54,73,73,78,54,58,91,75,68,82,67,91,1080
12,23,28,55,26,62,35,101,27,43,56,98,53,96,105,269,886
7,15,18,41,20,50,31,97,21,34,46,97,33,99,103,377,770
156,98,104,55,115,58,55,34,100,62,67,33,42,44,36,30,1020
29,43,37,50,32,61,50,112,34,53,65,103,64,98,103,155,1008
250,100,102,46,102,53,58,26,97,56,56,30,49,30,23,11,942
9,30,17,45,19,44,42,114,24,39,52,104,49,106,108,287,874
11,15,19,39,18,50,19,99,15,22,49,100,40,99,99,395,724
14,22,30,55,27,64,44,99,25,48,58,103,55,100,102,243,924
425,110,108,28,105,30,39,10,107,39,30,8,34,5,7,4,738
56,56,50,76,56,61,62,81,63,65,60,72,63,78,88,102,1058
69,54,72,60,60,62,55,74,56,56,48,91,70,79,76,107,1024
556,103,97,16,97,26,25,1,104,18,25,2,15,2,2,0,576
123,89,93,62,98,65,70,38,91,66,68,46,55,51,40,34,1068
55,40,42,56,44,68,59,89,42,52,68,98,52,100,91,133,1012
32,55,62,58,44,74,54,88,47,57,64,92,84,74,80,124,1044
206,103,106,54,109,58,40,36,97,53,67,26,57,29,30,18,958
2,6,6,33,9,37,7,79,5,9,41,77,31,80,78,589,514
43,48,50,78,42,63,62,76,49,57,54,83,85,75,77,147,1018
35,58,55,65,53,56,46,97,50,56,62,84,75,82,89,126,1030
217,109,109,57,113,49,59,21,111,59,51,21,51,25,23,14,976
149,101,99,70,109,59,49,38,107,56,63,29,54,39,44,23,1022
354,121,118,33,122,41,42,2,125,31,41,10,25,14,6,4,804
116,84,88,70,85,59,69,50,85,69,55,54,72,51,51,31,1080
7,8,13,49,15,49,21,82,19,14,40,94,36,96,93,453,664
13,18,16,50,15,43,43,97,21,36,39,102,48,101,100,347,808
48,52,45,70,55,65,63,82,55,57,72,81,57,91,85,111,1050
719,79,80,8,78,8,7,2,77,7,8,3,12,1,0,0,384
989,25,25,0,25,0,0,0,25,0,0,0,0,0,0,0,100
627,92,95,13,97,12,12,2,92,16,14,1,11,3,2,0,490
72,74,72,69,69,63,55,76,72,66,62,63,74,60,74,68,1070
19,38,39,56,38,66,48,98,36,44,67,103,59,102,96,180,982
0,4,6,38,6,36,14,71,7,8,33,79,35,79,74,599,512
52,55,60,68,59,59,64,79,50,69,63,79,74,78,74,106,1064
101,67,67,78,68,78,60,50,71,55,75,55,73,56,54,81,1022
43,44,38,64,41,70,62,86,46,56,71,86,59,89,88,146,1018
117,74,86,68,84,82,62,44,86,66,68,52,58,50,56,36,1064
1021,17,17,0,17,0,0,0,17,0,0,0,0,0,0,0,68
283,109,102,54,108,49,49,16,113,42,51,16,44,22,20,11,886
498,111,110,21,110,17,24,7,105,26,23,4,27,4,1,1,640
58,44,58,61,51,78,41,83,52,51,63,87,60,80,91,131,992
372,117,118,26,115,46,29,13,115,33,45,10,31,7,11,1,778
37,48,39,57,40,56,32,99,47,36,58,86,57,87,98,212,908
169,100,101,58,102,70,52,32,96,47,75,38,61,39,28,21,998
12,13,14,48,17,42,28,93,19,18,39,104,39,107,99,397,726
783,69,68,6,69,2,6,1,68,6,4,0,6,1,0,0,318
68,81,79,57,83,67,64,66,71,64,81,64,63,68,56,57,1092
4,6,11,43,14,46,18,84,19,21,36,86,27,89,97,488,636
72,67,72,65,62,70,64,68,70,58,57,79,72,69,71,73,1066
1027,15,15,0,15,1,0,0,15,0,1,0,0,0,0,0,62
